age,tenure_months,contract_type,monthly_charges,total_charges,phone_service,avg_monthly_gb_used,num_support_tickets,avg_monthly_minutes,satisfaction_score,num_additional_services,churned,age_is_floor,age_was_missing,gb_high_outlier,gb_was_missing,satisfaction_was_missing,is_dissatisfied,gender_Female,gender_Male,gender_Other,internet_service_unknown,internet_DSL,internet_Fiber optic,internet_No internet,payment_method_unknown,payment_Bank transfer,payment_Credit card,payment_Electronic check,payment_Mailed check,tenure_is_capped,tenure_is_new_customer,monthly_charges_at_floor,monthly_charges_was_missing,total_charges_was_missing,total_charges_suspect,minutes_low_usage,minutes_high_user,minutes_was_missing,has_any_tickets,is_high_ticket,has_any_addons,max_addons,days_since_last_interaction,long_since_interaction,conflict_phone_minutes,conflict_internet_gb,conflict_no_service_addons,conflict_internet_addons,conflict_satisfaction_churn,conflict_contract_tenure,conflict_satisfaction_tickets,conflict_inactive_retained
32.87473852980994,10.149619257299683,0,69.24,656.42,1,11.7,4,324.0,7.8,2,1,0,0,0,0,0,0,False,True,False,0,True,False,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,1,1,0,360,1,0,0,0,0,0,0,0,0
59.38994705046372,3.446550716175236,0,98.48,251.15,0,9.46,1,306.8,6.0,5,1,0,0,0,0,0,0,True,False,False,0,True,False,False,0,False,False,True,False,0,0,0,0,0,0,0,0,0,1,0,1,1,351,1,1,0,0,0,0,0,0,0
62.34360042856234,1.3865815135659345,2,94.35,120.78,1,9.56,4,349.5,5.5,0,0,0,0,0,0,0,0,False,True,False,0,False,True,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,1,0,0,353,1,0,0,0,0,0,1,0,1
45.78853268994935,67.60965934156175,0,85.87,5834.73,1,3.15,1,258.2,4.7,4,1,0,0,0,0,0,0,True,False,False,0,False,True,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,353,1,0,0,0,0,0,0,0,0
39.625417829855046,27.319622571026677,1,62.14,1626.23,1,28.8,0,335.8,6.0,2,0,0,0,0,0,1,0,True,False,False,0,True,False,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,355,1,0,0,0,0,0,0,0,1
69.47188148781531,71.08059106008241,0,50.9,3618.0,1,7.31,4,282.7,5.2,5,0,0,0,0,0,0,0,False,True,False,0,False,False,True,0,False,True,False,False,0,0,0,0,0,1,0,0,0,1,1,1,1,377,1,0,1,0,1,0,0,0,1
26.32786208968449,25.963790967463623,0,84.25,2293.74,1,0.47,1,335.6,2.3,5,1,0,0,0,0,0,1,False,True,False,0,True,False,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,1,363,1,0,0,0,0,0,0,0,0
38.10612972954593,37.51890718684598,0,99.26,3624.68,1,19.43,6,410.6,5.4,2,0,0,0,0,0,0,0,True,False,False,0,False,True,False,0,False,False,False,True,0,0,0,0,0,0,0,0,0,1,1,1,0,355,1,0,0,0,0,0,0,0,1
37.5024270558768,3.5897126886159025,0,106.82,289.3,0,7.75,1,361.7,7.4,3,0,0,0,0,0,0,0,True,False,False,0,False,False,True,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,349,1,1,1,1,1,0,0,0,1
56.25461387960364,7.402491847767187,0,84.02,547.54,1,54.48,1,370.8,4.9,3,1,0,0,0,0,0,0,False,True,False,0,False,True,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,344,1,0,0,0,0,0,0,0,0
24.78462915276499,2.476210499369239,2,30.42,75.33,0,8.86,0,160.9,7.0,3,0,0,0,0,0,0,0,True,False,False,0,True,False,False,0,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,1,0,357,1,1,0,0,0,0,1,0,1
39.98581256720544,73.58871609088376,0,46.21,3428.4,1,0.46,1,212.9,6.7,3,0,0,0,0,0,0,0,False,True,False,0,True,False,False,0,False,False,True,False,0,0,0,0,0,0,0,0,0,1,0,1,0,386,1,0,0,0,0,0,0,0,1
65.85873108926776,6.635782489997054,0,68.14,489.77,1,8.86,4,319.3,2.8,3,1,0,0,0,0,0,1,True,False,False,0,False,True,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,1,1,0,344,1,0,0,0,0,0,0,0,0
51.57888688166061,28.00330214043539,0,90.12,2530.8,0,32.38,1,109.8,3.0,4,1,0,0,0,0,0,1,False,True,False,0,False,True,False,0,False,False,True,False,0,0,0,0,0,0,0,0,0,1,0,1,0,359,1,1,0,0,0,0,0,0,0
21.51573893714776,8.862193111637234,2,20.88,101.19,0,0.58,4,299.25,0.6,0,0,0,0,0,0,0,1,True,False,False,0,False,True,False,0,False,False,True,False,0,0,0,0,0,0,0,0,1,1,1,0,0,361,1,1,0,0,0,0,0,0,1
35.69719774356214,18.84259231820684,0,87.38,1639.27,1,0.76,2,279.9,8.8,5,1,0,0,0,0,0,0,False,True,False,0,False,True,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,1,1,365,1,0,0,0,0,1,0,0,0
42.732901054885566,20.997395719389097,0,15.0,338.85,0,27.74,3,300.9,4.6,4,1,0,0,0,0,0,0,False,True,False,0,True,False,False,0,True,False,False,False,0,0,1,0,0,0,0,0,0,1,0,1,0,344,1,1,0,0,0,0,0,0,0
82.80253749884429,14.781602477498918,0,69.23,880.21,0,21.7,3,504.8,6.5,3,1,0,0,0,0,0,0,True,False,False,1,False,False,False,0,True,False,False,False,0,0,0,0,0,0,0,1,0,1,0,1,0,370,1,1,0,0,0,0,0,0,0
54.30516018918684,20.37274033304831,1,82.48,1746.41,1,5.99,2,427.5,2.3,1,0,0,0,0,0,0,1,True,False,False,0,False,True,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,347,1,0,0,0,0,0,0,0,1
41.44444804427382,35.13320033206404,0,15.0,513.9,1,15.59,2,140.7,5.4,5,0,0,0,0,0,0,0,False,True,False,0,False,False,True,0,False,False,True,False,0,0,1,0,0,0,0,0,0,1,0,1,1,349,1,0,1,0,1,0,0,0,1
45.578324306606085,25.54919633615878,1,27.67,636.97,1,34.78,2,412.5,4.4,0,0,0,0,0,0,0,0,True,False,False,0,False,True,False,0,False,False,True,False,0,0,0,0,0,0,0,0,0,1,0,0,0,351,1,0,0,0,0,0,0,0,1
64.19916208335039,7.498251409945844,2,36.99,342.27,0,27.63,2,195.4,5.7,1,0,0,0,0,0,0,0,False,True,False,0,False,True,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,352,1,1,0,0,0,0,0,0,1
51.35110707419874,9.647859900282455,0,102.94,1024.51,1,14.83,1,361.6,5.5,0,1,0,0,0,0,0,0,False,True,False,0,False,False,True,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,380,1,0,1,0,0,0,0,0,0
26.134336065661493,32.231280059345906,1,109.36,3561.35,0,10.4,3,277.7,4.2,3,0,0,0,0,1,0,0,True,False,False,1,False,False,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,353,1,1,0,0,0,0,0,0,1
35.82860089325996,44.236817977446485,2,73.89,3360.0,1,4.93,3,210.3,7.4,1,0,0,0,0,0,0,0,False,True,False,0,True,False,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,391,1,0,0,0,0,0,0,0,1
21.40710822778404,33.32518310230549,0,47.04,1682.89,0,16.74,1,247.8,6.4,5,0,0,0,0,0,0,0,False,True,False,0,True,False,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,1,1,392,1,1,0,0,0,0,0,0,1
20.66619435603489,58.450018714816935,2,74.97,4516.36,1,40.41,1,457.5,6.2,4,0,0,0,0,0,0,0,True,False,False,1,False,False,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,378,1,0,0,0,0,0,0,0,1
18.0,5.225231509780692,0,57.52,527.38,1,29.03,0,266.9,5.8,5,0,1,0,0,0,0,0,False,True,False,1,False,False,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,1,394,1,0,0,0,0,0,0,0,1
56.24331203161986,39.55094419596797,0,53.8,2123.3,1,0.06,2,199.0,6.6,5,0,0,0,0,0,0,0,True,False,False,0,True,False,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,1,360,1,0,0,0,0,0,0,0,1
53.5629779083045,34.34976196985223,0,57.1,2037.13,1,1.67,3,445.3,8.9,1,0,0,0,0,0,0,0,True,False,False,0,False,True,False,0,False,True,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,388,1,0,0,0,0,0,0,0,1
42.227744138106495,15.361867959125936,0,20.0,328.64,1,14.02,1,172.1,6.0,1,0,0,1,0,0,1,0,False,True,False,0,False,True,False,0,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,1,0,410,1,0,0,0,0,0,0,0,1
18.0,16.058126954286156,0,35.02,673.65,0,29.59,0,260.2,3.5,2,0,1,0,0,0,0,1,True,False,False,0,False,True,False,0,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,1,0,363,1,1,0,0,0,0,0,0,1
39.14491982874588,1.0,0,22.85,16.04,1,18.85,3,428.3,6.7,0,1,0,0,0,0,0,0,True,False,False,0,False,True,False,0,False,False,True,False,0,1,0,0,0,0,0,0,0,1,0,0,0,351,1,0,0,0,0,0,0,0,0
62.266093386197085,53.38982890885723,0,73.49,3929.2,0,0.89,0,367.5,4.3,3,1,0,0,0,0,0,0,False,True,False,0,True,False,False,0,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,1,0,357,1,1,0,0,0,0,0,0,0
39.40392263574196,4.400608329261145,2,74.25,320.27,1,3.35,4,355.4,2.2,5,0,0,0,0,0,0,1,False,True,False,0,False,False,True,0,False,False,True,False,0,0,0,0,0,0,0,0,0,1,1,1,1,368,1,0,1,0,1,0,0,0,1
